timestamp,target_label,predicted_label,pred_confidence
2024-04-01 09:15:00,SELL,HOLD,0.597
2024-04-01 09:20:00,HOLD,HOLD,0.667
2024-04-01 09:25:00,HOLD,HOLD,0.631
2024-04-01 09:30:00,HOLD,HOLD,0.8
2024-04-01 09:35:00,HOLD,HOLD,0.555
2024-04-01 09:40:00,BUY,BUY,0.58
2024-04-01 09:45:00,BUY,BUY,0.494
2024-04-01 09:50:00,HOLD,HOLD,0.785
2024-04-01 09:55:00,HOLD,HOLD,0.96
2024-04-01 10:00:00,HOLD,BUY,0.788
2024-04-01 10:05:00,HOLD,HOLD,0.501
2024-04-01 10:10:00,SELL,SELL,0.551
2024-04-01 10:15:00,SELL,SELL,0.769
2024-04-01 10:20:00,SELL,SELL,0.735
2024-04-01 10:25:00,SELL,SELL,0.637
2024-04-01 10:30:00,SELL,SELL,0.421
2024-04-01 10:35:00,SELL,SELL,0.489
2024-04-01 10:40:00,SELL,SELL,0.555
2024-04-01 10:45:00,SELL,SELL,0.758
2024-04-01 10:50:00,SELL,SELL,0.838
2024-04-01 10:55:00,SELL,HOLD,0.875
2024-04-01 11:00:00,SELL,SELL,0.878
2024-04-01 11:05:00,SELL,SELL,0.547
2024-04-01 11:10:00,SELL,SELL,0.897
2024-04-01 11:15:00,SELL,SELL,0.532
2024-04-01 11:20:00,SELL,SELL,0.573
2024-04-01 11:25:00,SELL,SELL,0.561
2024-04-01 11:30:00,SELL,SELL,0.58
2024-04-01 11:35:00,SELL,BUY,0.644
2024-04-01 11:40:00,SELL,SELL,0.815
2024-04-01 11:45:00,HOLD,HOLD,0.517
2024-04-01 11:50:00,HOLD,SELL,0.541
2024-04-01 11:55:00,HOLD,HOLD,0.767
2024-04-01 12:00:00,BUY,BUY,0.666
2024-04-01 12:05:00,HOLD,BUY,0.979
2024-04-01 12:10:00,BUY,BUY,0.444
2024-04-01 12:15:00,HOLD,HOLD,0.471
2024-04-01 12:20:00,HOLD,HOLD,0.696
2024-04-01 12:25:00,BUY,BUY,0.499
2024-04-01 12:30:00,HOLD,BUY,0.836
2024-04-01 12:35:00,BUY,BUY,0.683
2024-04-01 12:40:00,BUY,BUY,0.713
2024-04-01 12:45:00,BUY,BUY,0.768
2024-04-01 12:50:00,BUY,BUY,0.808
2024-04-01 12:55:00,BUY,BUY,0.691
2024-04-01 13:00:00,BUY,BUY,0.575
2024-04-01 13:05:00,BUY,BUY,0.805
2024-04-01 13:10:00,BUY,HOLD,0.49
2024-04-01 13:15:00,BUY,BUY,0.604
