timestamp,mom_ret_5,vol_std_5,trend_ema_dist_5,mom_ret_20,vol_std_20,trend_ema_dist_20,mom_ret_50,vol_std_50,trend_ema_dist_50,osc_rsi_14,vol_atr_14,osc_rsi_28,vol_atr_28,osc_macd,osc_macd_signal,osc_macd_hist,vol_bb_width,vol_bb_pctb,flow_vol_zscore,flow_vwap_dist,flow_obv,ctx_minute_of_day,ctx_session_progress,ctx_day_of_week,noise_random_walk
2024-04-01 09:15:00,,,0.0,,,0.0,,,0.0,50.0,,50.0,,0.0,0.0,0.0,,,,,0.0,555,0.0,0.0,0.034193
2024-04-01 09:20:00,,,0.011623,,,0.013803,,,0.014238,50.0,,50.0,,0.146058,0.081143,0.064915,,,,,0.026901,560,0.013514,0.0,1.39394
2024-04-01 09:25:00,,,-0.006874,,,-0.006886,,,-0.006824,93.86646,,96.949807,,0.014622,0.05388,-0.039259,,,,,0.00583,565,0.027027,0.0,2.618661
2024-04-01 09:30:00,,,-0.05229,,,-0.063623,,,-0.065677,76.885823,,87.676849,,-0.713091,-0.205934,-0.507157,,,,,-0.162818,570,0.040541,0.0,2.108354
2024-04-01 09:35:00,,,-0.057163,,,-0.07892,,,-0.08319,70.185907,,83.613061,,-1.454025,-0.577213,-0.876812,,,,,-0.283142,575,0.054054,0.0,1.810385
2024-04-01 09:40:00,-0.209285,0.048412,-0.093898,,,-0.13389,,,-0.141982,57.987017,,75.480001,,-2.740563,-1.163601,-1.576962,,,,,-0.394909,580,0.067568,0.0,1.283001
2024-04-01 09:45:00,-0.228505,0.041648,-0.054347,,,-0.100664,,,-0.110996,58.818196,,75.743834,,-3.419217,-1.734437,-1.68478,,,,,-0.295543,585,0.081081,0.0,1.852727
2024-04-01 09:50:00,-0.072006,0.091126,0.050748,,,0.025922,,,0.017989,68.011244,,78.917066,,-2.414382,-1.897841,-0.516541,,,,,-0.168603,590,0.094595,0.0,1.796663
2024-04-01 09:55:00,-0.030783,0.085081,0.006186,,,-0.012939,,,-0.020314,63.249896,,75.701129,,-2.140743,-1.953952,-0.186791,,,,,-0.323289,595,0.108108,0.0,2.543548
2024-04-01 10:00:00,-0.043176,0.086501,-0.030855,,,-0.055899,,,-0.064476,57.687539,,71.819482,,-2.524841,-2.081865,-0.442976,,,,,-0.385301,600,0.121622,0.0,0.696223
2024-04-01 10:05:00,0.101015,0.0756,0.014893,,,-0.002215,,,-0.009936,61.376399,,73.253738,,-2.13141,-2.092705,-0.038705,,,,,-0.136945,605,0.135135,0.0,2.262772
2024-04-01 10:10:00,0.132586,0.075828,0.03734,,,0.033792,,,0.028169,63.997268,,74.305259,,-1.305857,-1.923723,0.617866,,,,,0.018624,610,0.148649,0.0,2.16634
2024-04-01 10:15:00,0.018539,0.048259,0.036857,,,0.045097,,,0.041791,65.113484,,74.755891,,-0.447505,-1.611304,1.163799,,,,,0.076201,615,0.162162,0.0,2.846718
2024-04-01 10:20:00,-0.019754,0.059023,-0.028465,,,-0.030169,,,-0.034376,56.772989,44.997143,69.216825,,-0.831984,-1.44827,0.616286,,,,,-0.10329,620,0.175676,0.0,2.710152
2024-04-01 10:25:00,0.039796,0.052306,-0.014522,,,-0.02063,,,-0.02531,57.265889,44.227857,69.41334,,-1.022904,-1.360094,0.33719,,,,,0.002084,625,0.189189,0.0,2.331054
2024-04-01 10:30:00,0.062657,0.057959,0.041077,,,0.048932,,,0.046657,62.530904,44.280714,71.567279,,-0.12084,-1.105065,0.984225,,,,,0.232916,630,0.202703,0.0,2.794164
2024-04-01 10:35:00,-0.0956,0.078025,-0.050557,,,-0.060092,,,-0.064699,51.950977,45.706429,64.353736,,-1.050909,-1.093984,0.043075,,,,,-0.017029,635,0.216216,0.0,3.618677
2024-04-01 10:40:00,-0.145696,0.075221,-0.055064,,,-0.081633,,,-0.089355,49.480817,45.367143,62.562078,,-2.202358,-1.319725,-0.882633,,,,,-0.22782,640,0.22973,0.0,3.416147
2024-04-01 10:45:00,-0.234453,0.097348,-0.148997,,,-0.221987,,,-0.238682,38.995601,47.715714,54.325858,,-5.475673,-2.163069,-3.312604,,,,,-0.43347,645,0.243243,0.0,3.263361
2024-04-01 10:50:00,-0.350561,0.095232,-0.172497,,,-0.29508,,,-0.323438,33.955299,48.348571,49.894962,,-9.528859,-3.653409,-5.87545,0.481086,-0.209604,,,-0.69235,650,0.256757,0.0,3.94906
2024-04-01 10:55:00,-0.587188,0.054502,-0.222659,-0.632812,0.078914,-0.406756,,,-0.451078,28.188987,52.054286,44.378678,,-14.927326,-5.929183,-8.998143,0.642416,-0.232746,,,-0.815499,655,0.27027,0.0,3.078719
2024-04-01 11:00:00,-0.479127,0.073298,-0.154076,-0.669938,0.077834,-0.370756,,,-0.428705,27.926456,46.142857,44.118664,,-19.053104,-8.573479,-10.479625,0.745787,-0.097474,,,-1.051885,660,0.283784,0.0,1.564336
2024-04-01 11:05:00,-0.552459,0.064057,-0.173233,-0.750457,0.079439,-0.425917,,,-0.499336,24.767016,47.003571,40.953761,,-23.625542,-11.601767,-12.023775,0.868567,-0.091129,,,-1.132845,665,0.297297,0.0,1.959317
2024-04-01 11:10:00,-0.343747,0.082701,-0.088165,-0.627633,0.080564,-0.344806,,,-0.429426,28.166629,47.576429,42.612113,,-26.26965,-14.549263,-11.720387,0.951766,0.036395,,,-0.952905,670,0.310811,0.0,1.288752
2024-04-01 11:15:00,-0.203505,0.088972,-0.03824,-0.556731,0.081713,-0.281582,,,-0.374075,30.697852,49.629286,43.839794,,-27.54011,-17.157285,-10.382824,1.008497,0.120459,,,-0.736115,675,0.324324,0.0,-0.631589
2024-04-01 11:20:00,-0.043355,0.058125,-0.026305,-0.467585,0.08053,-0.253777,,,-0.352604,30.652071,47.007857,43.801548,,-28.225308,-19.3776,-8.847708,1.061408,0.160205,,,-0.816523,680,0.337838,0.0,-1.445643
2024-04-01 11:25:00,-0.2566,0.111546,-0.165387,-0.697909,0.091402,-0.426579,,,-0.539588,23.700366,49.572143,37.590515,,-31.924552,-21.893073,-10.031479,1.174804,0.034605,,,-1.008556,685,0.351351,0.0,-1.91324
2024-04-01 11:30:00,-0.184321,0.107339,-0.132531,-0.86201,0.082539,-0.413348,,,-0.539586,22.862384,51.489286,36.778874,48.243214,-34.966004,-24.512726,-10.453278,1.251019,0.070823,,,-1.150609,690,0.364865,0.0,-3.106443
